,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
181,FH Edwards,80.0,0,0,0.0,2.0,4,5,FH Edwards,1.0,4.0
182,FY Fazal,102.23,0,0,12.85,82.0,183,179,FY Fazal,10.0,18.3
183,Fazalhaq Farooqi,23.08,0,0,0.0,3.0,3,13,,0.0,3.0
184,G Gambhir,119.67,36,0,15.64,1616.0,4217,3524,G Gambhir,136.0,31.01
185,GB Hogg,100.0,0,0,4.55,16.0,22,22,GB Hogg,3.0,7.33
186,GC Smith,106.95,4,0,14.91,268.0,739,691,GC Smith,26.0,28.42
187,GC Viljoen,42.86,0,0,0.0,2.0,3,7,GC Viljoen,2.0,1.5
188,GD McGrath,80.0,0,0,20.0,0.0,4,5,GD McGrath,1.0,4.0
189,GD Phillips,118.18,0,0,16.36,14.0,65,55,GD Phillips,7.0,9.29
190,GH Vihari,85.8,0,0,7.25,161.0,284,331,GH Vihari,20.0,14.2
191,GHS Garton,50.0,0,0,0.0,2.0,2,4,GHS Garton,1.0,2.0
192,GJ Bailey,120.11,2,0,14.13,267.0,663,552,GJ Bailey,27.0,24.56
193,GJ Maxwell,151.45,18,0,21.44,731.0,2720,1796,GJ Maxwell,103.0,26.41
194,GR Napier,93.75,0,0,6.25,8.0,15,16,GR Napier,1.0,15.0
195,Gurkeerat Singh,117.2,2,0,15.14,200.0,511,436,Gurkeerat Singh,24.0,21.29
196,H Das,40.0,0,0,0.0,2.0,2,5,H Das,1.0,2.0
197,H Klaasen,160.62,2,1,19.69,179.0,514,320,H Klaasen,14.0,36.71
198,HC Brook,119.5,0,1,16.98,62.0,190,159,HC Brook,9.0,21.11
199,HE van der Dussen,88.0,0,0,8.0,11.0,22,25,HE van der Dussen,2.0,11.0
200,HF Gurney,20.0,0,0,0.0,1.0,1,5,,0.0,1.0
201,HH Gibbs,105.85,6,0,13.62,313.0,886,837,HH Gibbs,32.0,27.69
202,HH Pandya,139.64,10,0,17.95,762.0,2318,1660,HH Pandya,77.0,30.1
203,HM Amla,138.04,3,2,19.38,187.0,577,418,HM Amla,13.0,44.38
204,HR Shokeen,98.51,0,0,13.43,25.0,66,67,HR Shokeen,3.0,22.0
205,HV Patel,121.03,0,0,14.87,81.0,236,195,HV Patel,24.0,9.83
206,Harbhajan Singh,130.97,1,0,19.03,230.0,833,636,Harbhajan Singh,55.0,15.15
207,Harmeet Singh,150.0,0,0,25.0,4.0,18,12,Harmeet Singh,4.0,4.5
208,Harpreet Brar,111.27,0,0,12.68,63.0,158,142,Harpreet Brar,9.0,17.56
209,Harpreet Singh,112.94,0,0,12.94,41.0,96,85,Harpreet Singh,5.0,19.2
210,Harshit Rana,66.67,0,0,0.0,1.0,2,3,Harshit Rana,2.0,1.0
211,I Malhotra,175.0,0,0,25.0,3.0,7,4,,0.0,7.0
212,I Sharma,88.89,0,0,9.52,25.0,56,63,I Sharma,6.0,9.33
213,I Udana,136.36,0,0,18.18,5.0,15,11,I Udana,3.0,5.0
214,IC Pandey,0.0,0,0,0.0,0.0,0,2,IC Pandey,1.0,0.0
215,IK Pathan,116.75,1,0,12.79,486.0,1150,985,IK Pathan,53.0,21.7
216,IR Jaggi,76.0,0,0,6.0,43.0,76,100,IR Jaggi,5.0,15.2
217,IS Sodhi,38.89,0,0,0.0,7.0,7,18,IS Sodhi,2.0,3.5
218,Imran Tahir,89.19,0,0,13.51,11.0,33,37,Imran Tahir,4.0,8.25
219,Iqbal Abdulla,102.33,0,0,11.63,40.0,88,86,Iqbal Abdulla,2.0,44.0
220,Ishan Kishan,131.37,15,0,18.26,736.0,2324,1769,Ishan Kishan,79.0,29.42
221,J Arunkumar,95.83,0,0,20.83,3.0,23,24,J Arunkumar,3.0,7.67
222,J Botha,112.36,1,0,12.09,182.0,409,364,J Botha,20.0,20.45
223,J Suchith,112.9,0,0,14.52,23.0,70,62,J Suchith,4.0,17.5
224,J Syed Mohammad,107.41,0,0,14.81,12.0,29,27,J Syed Mohammad,2.0,14.5
225,J Theron,76.92,0,0,7.69,6.0,10,13,J Theron,2.0,5.0
226,J Yadav,105.26,0,0,7.89,21.0,40,38,J Yadav,4.0,10.0
227,JA Morkel,136.94,3,0,16.29,344.0,975,712,JA Morkel,40.0,24.38
228,JA Richardson,60.0,0,0,8.0,7.0,15,25,JA Richardson,2.0,7.5
229,JC Archer,150.76,0,0,18.94,60.0,199,132,JC Archer,13.0,15.31
230,JC Buttler,143.1,19,5,20.82,884.0,3224,2253,JC Buttler,86.0,37.49
231,JD Ryder,129.61,4,0,18.88,178.0,604,466,JD Ryder,28.0,21.57
232,JD Unadkat,120.98,0,0,13.99,68.0,173,143,JD Unadkat,13.0,13.31
233,JDP Oram,96.36,0,0,10.0,49.0,106,110,JDP Oram,8.0,13.25
234,JDS Neesham,98.92,0,0,8.6,45.0,92,93,JDS Neesham,9.0,10.22
235,JE Root,66.67,0,0,6.67,6.0,10,15,JE Root,1.0,10.0
236,JE Taylor,75.0,0,0,0.0,2.0,3,4,JE Taylor,1.0,3.0
237,JEC Franklin,105.83,1,0,11.0,151.0,327,309,JEC Franklin,11.0,29.73
238,JH Kallis,105.94,17,0,13.05,1010.0,2427,2291,JH Kallis,85.0,28.55
239,JJ Bumrah,82.35,0,0,7.35,30.0,56,68,JJ Bumrah,7.0,8.0
240,JJ Roy,133.48,4,0,20.87,167.0,614,460,JJ Roy,19.0,32.32
241,JJ van der Wath,105.88,0,0,11.76,7.0,18,17,JJ van der Wath,2.0,9.0
242,JL Denly,0.0,0,0,0.0,0.0,0,1,JL Denly,1.0,0.0
243,JL Pattinson,115.38,0,0,15.38,7.0,15,13,JL Pattinson,1.0,15.0
244,JM Bairstow,138.07,9,1,20.11,361.0,1291,935,JM Bairstow,36.0,35.86
245,JM Kemp,104.0,0,0,8.0,12.0,26,25,JM Kemp,2.0,13.0
246,JM Sharma,153.39,0,0,21.75,141.0,543,354,JM Sharma,21.0,25.86
247,JO Holder,119.35,0,0,14.29,88.0,259,217,JO Holder,21.0,12.33
248,JP Behrendorff,66.67,0,0,0.0,6.0,6,9,,0.0,6.0
249,JP Duminy,120.77,14,0,12.2,913.0,2029,1680,JP Duminy,51.0,39.78
