batsman,match_id,batting_team,bowling_team,runs_scored,year
Yuvraj Singh,336003,Kings XI Punjab,Kolkata Knight Riders,17,2008
AB de Villiers,336004,Delhi Daredevils,Mumbai Indians,21,2008
AM Nayar,336004,Mumbai Indians,Delhi Daredevils,2,2008
DJ Bravo,336004,Mumbai Indians,Delhi Daredevils,2,2008
DJ Thornely,336004,Mumbai Indians,Delhi Daredevils,30,2008
G Gambhir,336004,Delhi Daredevils,Mumbai Indians,1,2008
KD Karthik,336004,Delhi Daredevils,Mumbai Indians,28,2008
PJ Sangwan,336004,Delhi Daredevils,Mumbai Indians,2,2008
R Bhatia,336004,Delhi Daredevils,Mumbai Indians,9,2008
RR Raje,336004,Mumbai Indians,Delhi Daredevils,6,2008
RV Uthappa,336004,Mumbai Indians,Delhi Daredevils,22,2008
S Dhawan,336004,Delhi Daredevils,Mumbai Indians,1,2008
SM Pollock,336004,Mumbai Indians,Delhi Daredevils,33,2008
SS Tiwary,336004,Mumbai Indians,Delhi Daredevils,9,2008
ST Jayasuriya,336004,Mumbai Indians,Delhi Daredevils,34,2008
Shoaib Malik,336004,Delhi Daredevils,Mumbai Indians,24,2008
V Sehwag,336004,Delhi Daredevils,Mumbai Indians,40,2008
VY Mahesh,336004,Delhi Daredevils,Mumbai Indians,3,2008
YV Takawale,336004,Mumbai Indians,Delhi Daredevils,14,2008
GC Smith,336005,Rajasthan Royals,Chennai Super Kings,35,2008
JA Morkel,336005,Chennai Super Kings,Rajasthan Royals,42,2008
M Ntini,336005,Chennai Super Kings,Rajasthan Royals,11,2008
MS Dhoni,336005,Chennai Super Kings,Rajasthan Royals,1,2008
MS Gony,336005,Chennai Super Kings,Rajasthan Royals,1,2008
S Badrinath,336005,Chennai Super Kings,Rajasthan Royals,15,2008
S Vidyut,336005,Chennai Super Kings,Rajasthan Royals,5,2008
SA Asnodkar,336005,Rajasthan Royals,Chennai Super Kings,32,2008
SK Raina,336005,Chennai Super Kings,Rajasthan Royals,27,2008
SR Watson,336005,Rajasthan Royals,Chennai Super Kings,14,2008
YK Pathan,336005,Rajasthan Royals,Chennai Super Kings,8,2008
A Kumble,336006,Royal Challengers Bangalore,Kings XI Punjab,3,2008
DPMD Jayawardene,336006,Kings XI Punjab,Royal Challengers Bangalore,17,2008
DT Patil,336006,Royal Challengers Bangalore,Kings XI Punjab,4,2008
DW Steyn,336006,Royal Challengers Bangalore,Kings XI Punjab,1,2008
IK Pathan,336006,Kings XI Punjab,Royal Challengers Bangalore,17,2008
JR Hopes,336006,Kings XI Punjab,Royal Challengers Bangalore,5,2008
Misbah-ul-Haq,336006,Royal Challengers Bangalore,Kings XI Punjab,8,2008
R Dravid,336006,Royal Challengers Bangalore,Kings XI Punjab,66,2008
RR Sarwan,336006,Kings XI Punjab,Royal Challengers Bangalore,31,2008
SE Marsh,336006,Kings XI Punjab,Royal Challengers Bangalore,39,2008
V Kohli,336006,Royal Challengers Bangalore,Kings XI Punjab,34,2008
Yuvraj Singh,336006,Kings XI Punjab,Royal Challengers Bangalore,1,2008
AC Gilchrist,336007,Deccan Chargers,Chennai Super Kings,54,2008
HH Gibbs,336007,Deccan Chargers,Chennai Super Kings,10,2008
JA Morkel,336007,Chennai Super Kings,Deccan Chargers,29,2008
Joginder Sharma,336007,Chennai Super Kings,Deccan Chargers,16,2008
MS Dhoni,336007,Chennai Super Kings,Deccan Chargers,23,2008
MS Gony,336007,Chennai Super Kings,Deccan Chargers,15,2008
PA Patel,336007,Chennai Super Kings,Deccan Chargers,4,2008
RG Sharma,336007,Deccan Chargers,Chennai Super Kings,23,2008
S Anirudha,336007,Chennai Super Kings,Deccan Chargers,1,2008
SB Styris,336007,Deccan Chargers,Chennai Super Kings,36,2008
SK Raina,336007,Chennai Super Kings,Deccan Chargers,32,2008
SP Fleming,336007,Chennai Super Kings,Deccan Chargers,14,2008
Shahid Afridi,336007,Deccan Chargers,Chennai Super Kings,20,2008
AM Nayar,336008,Mumbai Indians,Rajasthan Royals,12,2008
DJ Bravo,336008,Mumbai Indians,Rajasthan Royals,1,2008
GC Smith,336008,Rajasthan Royals,Mumbai Indians,5,2008
M Kaif,336008,Rajasthan Royals,Mumbai Indians,4,2008
M Rawat,336008,Rajasthan Royals,Mumbai Indians,1,2008
RV Uthappa,336008,Mumbai Indians,Rajasthan Royals,34,2008
SA Asnodkar,336008,Rajasthan Royals,Mumbai Indians,39,2008
SK Trivedi,336008,Rajasthan Royals,Mumbai Indians,1,2008
SK Warne,336008,Rajasthan Royals,Mumbai Indians,7,2008
SR Watson,336008,Rajasthan Royals,Mumbai Indians,32,2008
ST Jayasuriya,336008,Mumbai Indians,Rajasthan Royals,18,2008
Sohail Tanvir,336008,Rajasthan Royals,Mumbai Indians,6,2008
YK Pathan,336008,Rajasthan Royals,Mumbai Indians,1,2008
YV Takawale,336008,Mumbai Indians,Rajasthan Royals,27,2008
CK Kapugedera,336009,Chennai Super Kings,Delhi Daredevils,8,2008
G Gambhir,336009,Delhi Daredevils,Chennai Super Kings,80,2008
JA Morkel,336009,Chennai Super Kings,Delhi Daredevils,30,2008
KD Karthik,336009,Delhi Daredevils,Chennai Super Kings,6,2008
MK Tiwary,336009,Delhi Daredevils,Chennai Super Kings,5,2008
